Uploading part 1/1 in batch 1
MinerU batch 3d8b1512-57a1-412d-8fca-11fd105d80e8: poll 1/180, states=['waiting-file']
MinerU batch 3d8b1512-57a1-412d-8fca-11fd105d80e8: poll 2/180, states=['pending']
MinerU batch 3d8b1512-57a1-412d-8fca-11fd105d80e8: poll 3/180, states=['pending']
MinerU batch 3d8b1512-57a1-412d-8fca-11fd105d80e8: poll 4/180, states=['pending']
MinerU batch 3d8b1512-57a1-412d-8fca-11fd105d80e8: poll 5/180, states=['pending']
MinerU batch 3d8b1512-57a1-412d-8fca-11fd105d80e8: poll 6/180, states=['pending']
MinerU batch 3d8b1512-57a1-412d-8fca-11fd105d80e8: poll 7/180, states=['pending']
MinerU batch 3d8b1512-57a1-412d-8fca-11fd105d80e8: poll 8/180, states=['pending']
MinerU batch 3d8b1512-57a1-412d-8fca-11fd105d80e8: poll 9/180, states=['pending']
MinerU batch 3d8b1512-57a1-412d-8fca-11fd105d80e8: poll 10/180, states=['pending']
MinerU batch 3d8b1512-57a1-412d-8fca-11fd105d80e8: poll 11/180, states=['pending']
MinerU batch 3d8b1512-57a1-412d-8fca-11fd105d80e8: poll 12/180, states=['pending']
MinerU batch 3d8b1512-57a1-412d-8fca-11fd105d80e8: poll 13/180, states=['pending']
MinerU batch 3d8b1512-57a1-412d-8fca-11fd105d80e8: poll 14/180, states=['pending']
MinerU batch 3d8b1512-57a1-412d-8fca-11fd105d80e8: poll 15/180, states=['running']
